126
ID_ESTADO|ID_DISTRITO_FEDERAL|SECCION|TIPO_CASILLA|ID_CASILLA|EXT_CONTIGUA|TIPO_SECCION|LISTA_NOMINAL|ID_MUNICIPIO|ID_DIST_LOC|ID_ESTRATO_F|ESTRATO_F|ID_ESTRATO_L|ESTRATO_L|ID_AREA_RESPONSABILIDAD|PAN|PRI|PRD|PAN_PRI_PRD|PAN_PRI|PAN_PRD|PRI_PRD|PT|PVEM|MORENA|PANAL|PT_PVEM_MORENA_PANAL|PT_PVEM_MORENA|PT_PVEM_PANAL|PT_MORENA_PANAL|PVEM_MORENA_PANAL|PT_PVEM|PT_MORENA|PT_PANAL|PVEM_MORENA|PVEM_PANAL|MORENA_PANAL|MC|PAZ|MD|PP|PES|RSP|FPM|CNR|NULOS|TOTAL|AMRF|C_MD|CEAM|DMA|FCM|FSPT|JVB|MGMP|MGZ
32|3|1825|C|1|0|U|430|56|1|3|3|6|estrato_6|127|12|26|16|6|1|13|0|7|16|1|3|1|5|3|1|5|2|20|10|3|3|8|0|21|14|3|3|5|8|0|1|217|0|14|74|88|21|5|3|3|8
32|4|1690|B|1|0|R|437|54|15|4|4|11|estrato_11|140|8|37|8|2|0|14|3|10|18|2|1|1|11|1|2|3|2|18|13|2|10|4|3|25|15|6|1|6|6|0|2|234|3|15|72|98|25|6|6|1|6
32|2|1563|B|1|0|M|377|49|7|2|2|9|estrato_9|192|1|30|9|9|1|17|1|3|14|2|1|2|11|1|0|1|1|13|6|4|3|4|0|19|14|3|0|7|3|0|2|182|0|14|68|66|19|7|3|0|3
32|3|0737|B|1|0|U|626|22|18|3|3|3|estrato_3|40|13|47|12|6|1|23|1|14|14|2|0|4|8|2|0|7|1|31|9|8|8|7|1|38|23|7|5|6|9|1|2|310|1|23|103|115|38|6|7|5|9
32|4|0469|C|1|0|U|647|17|4|4|4|7|estrato_7|62|10|39|13|5|4|22|2|11|27|4|1|4|16|3|3|14|4|21|7|6|12|7|1|41|24|5|4|3|7|1|2|323|1|24|95|140|41|3|5|4|7
32|2|1533|B|1|0|U|709|49|7|2|2|5|estrato_5|181|9|48|13|8|4|25|1|12|22|6|4|2|18|7|3|8|5|16|20|7|4|15|3|33|27|16|5|7|12|0|4|364|3|27|108|149|33|7|16|5|12
32|2|0369|B|1|0|R|427|12|11|2|2|9|estrato_9|58|9|24|4|3|3|15|2|7|13|2|2|1|10|2|1|5|5|12|7|9|9|13|3|19|11|4|3|5|7|0|1|211|3|11|60|98|19|5|4|3|7
32|2|1467|B|1|0|U|384|47|14|2|2|5|estrato_5|165|7|25|7|9|1|15|0|11|18|2|1|0|5|2|1|5|3|8|3|2|5|2|3|22|12|4|3|3|3|0|3|185|3|12|64|68|22|3|4|3|3
32|4|0520|C|2|0|M|590|17|4|4|4|14|estrato_14|45|13|47|14|10|3|21|2|11|18|1|0|2|18|5|5|5|2|16|15|5|8|5|3|26|25|2|5|7|9|1|0|304|3|25|110|116|26|7|2|5|9
32|4|0486|B|1|0|U|402|17|3|4|4|4|estrato_4|37|3|32|9|9|2|14|0|8|8|4|2|1|15|1|0|4|0|9|9|3|8|3|5|23|19|1|4|4|3|0|1|204|5|19|69|75|23|4|1|4|3
32|4|1129|B|1|0|R|571|38|15|4|4|14|estrato_14|108|14|48|13|12|1|22|0|7|10|1|5|3|9|6|1|9|4|19|1|5|8|5|1|28|23|5|3|7|9|0|4|283|1|23|110|93|28|7|5|3|9
32|1|0064|B|1|0|U|484|6|16|1|1|8|estrato_8|15|12|28|15|5|1|25|0|11|21|3|0|1|11|3|2|3|3|20|17|1|4|2|2|31|26|3|7|6|14|0|1|278|2|26|86|102|31|6|3|7|14
32|2|0559|B|1|0|R|295|18|13|2|2|9|estrato_9|100|7|25|6|2|0|3|2|3|10|3|0|0|8|0|2|4|1|9|5|2|6|4|1|14|12|3|0|4|4|0|2|142|1|12|45|57|14|4|3|0|4
32|1|0124|E|1|0|R|183|9|17|1|1|8|estrato_8|149|2|17|4|5|1|3|0|3|5|1|0|0|2|1|2|1|0|6|5|1|0|3|0|16|5|2|0|4|1|0|0|90|0|5|32|30|16|4|2|0|1
32|4|1903|B|1|0|U|549|17|4|4|4|7|estrato_7|67|12|43|14|3|1|17|3|7|17|2|0|3|7|6|2|16|2|22|8|5|8|3|0|38|25|4|2|6|6|0|2|284|0|25|93|108|38|6|4|2|6
32|2|0754|B|1|0|R|140|23|14|2|2|9|estrato_9|133|6|6|2|0|0|7|0|4|4|1|0|1|3|1|0|5|1|5|1|0|2|3|1|8|4|0|0|1|1|0|1|68|1|4|21|31|8|1|0|0|1
32|3|0413|C|1|0|R|459|14|18|3|3|13|estrato_13|47|11|41|10|4|2|18|0|11|12|4|0|1|8|1|2|6|0|21|7|8|4|7|2|26|20|1|2|5|5|1|2|242|2|20|86|92|26|5|1|2|5
32|4|0493|C|1|0|U|378|17|3|4|4|4|estrato_4|36|7|25|7|2|1|13|3|6|11|4|0|1|9|2|2|6|2|15|6|2|4|4|1|17|18|6|2|4|5|0|2|187|1|18|58|74|17|4|6|2|5
32|2|1550|B|1|0|R|160|49|7|2|2|9|estrato_9|178|3|8|3|3|0|9|0|4|6|3|1|1|1|1|0|2|0|9|0|1|2|0|1|12|7|2|0|1|2|0|3|85|1|7|26|31|12|1|2|0|2
32|1|0046|B|1|0|U|400|5|2|1|1|1|estrato_1|6|5|28|7|6|1|18|1|7|12|2|1|2|4|1|1|5|1|15|5|4|11|2|0|27|13|1|4|5|9|0|5|203|0|13|66|73|27|5|1|4|9
32|2|1434|B|1|0|U|360|46|10|2|2|2|estrato_2|31|4|44|6|2|0|15|2|10|12|3|1|2|7|2|0|5|2|9|7|3|3|1|0|13|14|8|0|1|5|0|0|181|0|14|73|67|13|1|8|0|5
32|3|0949|C|1|0|M|495|32|2|3|3|6|estrato_6|155|8|37|9|5|2|19|1|10|15|3|0|1|10|1|3|8|2|13|8|3|8|5|5|29|20|3|1|8|12|0|3|252|5|20|81|90|29|8|3|1|12
32|3|1783|B|1|0|U|551|56|2|3|3|6|estrato_6|104|6|48|11|15|1|22|1|10|15|1|1|0|15|2|1|6|0|16|12|6|13|8|2|27|25|5|6|6|11|0|3|295|2|25|104|106|27|6|5|6|11
32|3|1790|B|1|0|U|414|56|2|3|3|6|estrato_6|130|7|26|9|3|2|12|1|9|9|2|3|2|13|1|0|7|1|12|14|1|3|2|1|23|13|3|0|8|4|0|3|194|1|13|60|79|23|8|3|0|4
32|2|0601|B|1|0|R|298|19|13|2|2|9|estrato_9|95|3|16|9|7|0|9|1|6|11|2|1|0|6|2|2|3|1|11|7|1|2|2|0|15|11|2|0|1|6|0|2|139|0|11|45|57|15|1|2|0|6
32|4|0507|C|1|0|U|709|17|3|4|4|7|estrato_7|19|19|52|16|11|1|27|2|13|18|3|0|6|16|10|2|9|1|25|24|10|10|16|3|33|28|5|5|8|8|1|4|386|3|28|128|163|33|8|5|5|8
32|2|1473|B|1|0|R|122|58|14|2|2|9|estrato_9|162|1|12|1|2|0|3|0|4|6|0|0|1|2|1|0|2|2|5|2|0|1|4|0|5|4|0|3|1|0|0|0|62|0|4|19|30|5|1|0|3|0
32|1|1339|B|1|0|R|464|42|17|1|1|1|estrato_1|132|7|30|8|4|4|15|2|8|16|1|0|2|6|1|0|13|5|10|5|6|8|0|1|28|21|6|1|4|6|0|2|220|1|21|70|81|28|4|6|1|6
32|2|1493|C|1|0|U|428|48|14|2|2|2|estrato_2|151|6|30|15|0|3|17|1|6|16|2|0|0|12|0|1|6|1|17|7|6|2|5|3|20|17|2|0|3|6|0|1|205|3|17|72|81|20|3|2|0|6
32|1|1344|B|1|0|R|373|42|17|1|1|8|estrato_8|133|3|30|14|3|0|13|0|7|6|0|1|2|7|5|0|3|4|11|8|2|7|9|2|21|12|6|2|4|6|0|4|192|2|12|63|72|21|4|6|2|6
32|4|0470|S|1|0|M|0|17|4|4|4|7|estrato_7|52|16|91|26|22|7|42|5|24|39|6|2|2|23|6|6|13|7|35|21|8|19|16|1|61|50|7|5|11|22|1|5|599|1|50|209|227|61|11|7|5|22
32|3|1848|B|1|0|U|434|56|1|3|3|3|estrato_3|139|10|36|7|6|0|15|0|7|20|2|0|1|8|2|0|5|1|21|4|2|10|8|2|16|18|4|3|7|2|0|3|220|2|18|74|91|16|7|4|3|2
32|4|0470|C|4|0|M|657|17|4|4|4|7|estrato_7|51|14|49|15|7|1|20|0|12|22|4|0|3|15|6|5|6|1|14|7|9|12|2|0|35|24|9|5|10|5|1|1|314|0|24|106|118|35|10|9|5|5
32|4|0515|C|1|0|R|377|17|4|4|4|11|estrato_11|42|6|24|7|6|1|14|1|6|11|1|1|0|4|1|2|4|0|16|5|5|5|5|0|16|18|3|2|2|6|0|3|175|0|18|59|66|16|2|3|2|6
