19
ID_ESTADO|ID_DISTRITO_FEDERAL|SECCION|TIPO_CASILLA|ID_CASILLA|EXT_CONTIGUA|TIPO_SECCION|LISTA_NOMINAL|ID_MUNICIPIO|ID_DIST_LOC|ID_ESTRATO_F|ESTRATO_F|ID_ESTRATO_L|ESTRATO_L|ID_AREA_RESPONSABILIDAD|PAN|PRI|PRD|PAN_PRI_PRD|PAN_PRI|PAN_PRD|PRI_PRD|PVEM|PT|MC|MORENA_PANAL|PES|RSP|FPM|CNR|NULOS|TOTAL|AICA|CVYCC|EBR|IVS|LAMS|MRC|PD|VMA
6|2|0233|C|1|0|M|612|8|14|2|2|6|estrato_6|20|37|39|11|12|1|24|14|21|41|42|4|22|0|3|39|0|310|41|3|0|4|42|138|22|21
6|1|0001|C|7|0|U|713|1|6|1|1|3|estrato_3|31|29|41|7|22|8|28|13|28|65|64|4|21|1|4|36|0|371|65|4|1|4|64|148|21|28
6|1|0082|E|1|0|M|384|1|3|1|1|1|estrato_1|40|23|20|2|5|3|9|12|10|38|37|2|10|0|1|13|0|185|38|1|0|2|37|74|10|10
6|2|0217|C|1|0|U|470|8|13|2|2|5|estrato_5|60|16|22|2|18|1|12|14|15|36|41|3|21|0|5|22|0|228|36|5|0|3|41|85|21|15
6|2|0174|B|1|0|M|492|6|9|2|2|6|estrato_6|9|20|31|3|17|1|12|9|24|48|44|3|16|1|3|20|0|252|48|3|1|3|44|93|16|24
6|1|0084|C|1|0|R|584|1|3|1|1|4|estrato_4|5|25|32|7|15|3|17|14|24|34|55|3|25|0|2|31|0|287|34|2|0|3|55|113|25|24
6|2|0238|B|1|0|M|685|8|11|2|2|2|estrato_2|27|19|44|7|26|5|25|15|23|63|57|2|27|3|2|30|0|348|63|2|3|2|57|141|27|23
6|2|0238|E|1|5|M|671|8|11|2|2|2|estrato_2|27|29|27|9|10|5|17|19|32|60|59|5|19|0|7|34|0|332|60|7|0|5|59|116|19|32
6|1|0060|E|1|5|U|716|1|1|1|1|4|estrato_4|57|27|37|7|17|3|21|18|26|52|57|7|38|1|7|35|2|355|52|7|1|7|57|130|38|26
6|1|0127|C|1|0|U|597|4|6|1|1|1|estrato_1|80|28|29|6|18|2|15|18|20|46|48|1|25|4|3|34|0|297|46|3|4|1|48|116|25|20
6|2|0186|B|1|0|U|563|6|9|2|2|6|estrato_6|3|20|30|3|21|0|22|8|18|42|61|3|18|1|1|25|0|273|42|1|1|3|61|104|18|18
6|1|0035|B|1|0|U|631|1|1|1|1|1|estrato_1|33|36|32|4|17|5|21|10|29|47|64|5|22|1|5|24|0|322|47|5|1|5|64|125|22|29
6|2|0244|C|11|0|U|705|8|12|2|2|2|estrato_2|36|31|48|7|22|5|20|13|22|59|65|5|10|0|4|29|0|340|59|4|0|5|65|146|10|22
6|1|0145|E|1|5|M|688|5|4|1|1|3|estrato_3|132|32|42|4|10|6|28|13|29|54|69|4|18|2|3|32|0|346|54|3|2|4|69|135|18|29
6|2|0258|C|1|0|U|664|8|13|2|2|6|estrato_6|52|27|31|8|25|1|18|15|21|47|63|5|21|1|3|43|0|329|47|3|1|5|63|125|21|21
6|1|0073|E|1|1|U|718|1|2|1|1|1|estrato_1|10|26|33|4|21|6|20|12|29|67|57|3|26|3|3|29|0|339|67|3|3|3|57|122|26|29
6|2|0298|B|1|0|M|658|10|15|2|2|5|estrato_5|99|24|32|9|21|3|19|9|27|46|51|1|23|3|2|27|0|297|46|2|3|1|51|117|23|27
6|2|0276|C|1|0|R|440|9|14|2|2|6|estrato_6|76|24|16|3|10|0|22|4|23|37|37|2|15|2|2|22|0|219|37|2|2|2|37|79|15|23
6|1|0082|B|1|0|M|659|1|3|1|1|1|estrato_1|40|38|37|7|12|6|20|12|26|54|52|3|23|3|5|26|1|325|54|5|3|3|52|132|23|26
