112
ID_ESTADO|ID_DISTRITO_FEDERAL|SECCION|TIPO_CASILLA|ID_CASILLA|EXT_CONTIGUA|TIPO_SECCION|LISTA_NOMINAL|ID_MUNICIPIO|ID_DIST_LOC|ID_ESTRATO_F|ESTRATO_F|ID_ESTRATO_L|ESTRATO_L|ID_AREA_RESPONSABILIDAD|PAN|PRI|PRD|PAN_PRI_PRD|PAN_PRI|PAN_PRD|PRI_PRD|PT|PVEM|MORENA|PANAL|PT_PVEM_MORENA_PANAL|PT_PVEM_MORENA|PVEM_MORENA_PANAL|PT_PVEM_PANAL|PT_MORENA_PANAL|PT_PVEM|PVEM_MORENA|PVEM_PANAL|PT_MORENA|PT_PANAL|MORENA_PANAL|MC|VIVA|LN|PES|RSP|FPM|CNR|NULOS|TOTAL|AGJ|BGTL|GENS|IFM|MANQ|NMC|NRI|VMCV
18|3|0105|C|2|0|U|539|4|17|3|3|3|estrato_3|107|2|15|0|33|9|0|9|18|3|11|2|11|11|12|0|7|12|30|10|20|10|0|11|36|8|5|0|0|1|1|287|8|0|68|11|157|0|5|36
18|2|0799|E|4|0|M|628|17|7|2|2|2|estrato_2|30|3|6|2|39|9|0|14|18|3|14|3|14|10|19|1|15|19|30|13|28|12|1|8|25|7|8|0|0|2|1|324|7|0|73|8|200|0|8|25
18|3|0111|C|2|0|M|664|4|17|3|3|7|estrato_7|119|2|11|2|31|17|0|10|27|2|21|0|19|9|15|2|9|16|30|13|28|5|0|12|35|6|7|1|0|2|1|333|6|0|73|12|196|1|7|35
18|2|0787|B|1|0|R|372|17|6|2|2|2|estrato_2|12|2|11|0|19|5|0|13|13|0|10|1|7|7|9|0|4|12|21|6|8|2|0|8|20|2|3|0|0|3|2|188|2|0|50|8|100|0|3|20
18|2|0752|C|1|0|U|643|17|11|2|2|4|estrato_4|110|1|17|3|43|15|0|23|18|2|15|0|11|13|8|0|9|15|21|11|23|10|0|4|41|11|11|0|0|1|4|330|11|0|102|4|156|0|11|41
18|2|0681|B|1|0|U|738|17|12|2|2|4|estrato_4|117|1|12|2|41|17|0|17|17|2|13|2|15|13|19|0|7|15|48|19|38|12|0|8|49|14|8|0|0|2|2|393|14|0|90|8|220|0|8|49
18|3|0104|C|1|0|U|628|4|17|3|3|5|estrato_5|97|1|10|1|25|12|0|15|21|0|10|1|8|7|9|1|8|11|30|14|35|4|0|10|27|10|6|0|0|1|1|278|10|0|64|10|159|0|6|27
18|2|0957|C|1|0|U|444|17|7|2|2|2|estrato_2|36|0|6|2|33|5|0|9|6|0|1|0|15|11|5|0|5|11|23|14|17|9|0|6|28|9|6|0|0|0|0|221|9|0|55|6|117|0|6|28
18|1|0360|B|1|0|U|735|12|10|1|1|8|estrato_8|63|2|15|1|31|15|0|16|20|3|11|0|16|14|17|3|7|18|30|13|37|13|0|4|36|9|13|0|0|6|2|352|9|0|80|4|202|0|13|36
18|1|0038|C|1|0|U|490|1|1|1|1|8|estrato_8|12|1|18|1|31|12|0|5|13|2|12|1|11|4|8|0|7|13|22|13|18|9|0|4|31|9|3|0|0|1|2|251|9|0|68|4|133|0|3|31
