106
ID_ESTADO|ID_DISTRITO_FEDERAL|SECCION|TIPO_CASILLA|ID_CASILLA|EXT_CONTIGUA|TIPO_SECCION|LISTA_NOMINAL|ID_MUNICIPIO|ID_DIST_LOC|ID_ESTRATO_F|ESTRATO_F|ID_ESTRATO_L|ESTRATO_L|ID_AREA_RESPONSABILIDAD|PAN|PRD|PAN_PRD|PRI|PVEM|PT|MORENA|PANAL|PT_MORENA_PANAL|PT_MORENA|PT_PANAL|MORENA_PANAL|MC|PES|RSP|FPM|CNR|NULOS|TOTAL|ADV|BFRP|GOG|JALS|JCLR|LCAL|MEBG|MECG
8|4|1729|B|1|0|U|550|37|6|4|4|13|estrato_13|67|2|9|40|0|2|6|2|56|23|13|7|22|35|26|1|5|1|30|280|5|2|0|35|129|26|1|51
8|7|0919|B|1|0|R|505|20|13|7|7|7|estrato_7|75|3|8|43|1|1|2|2|54|23|17|6|24|22|17|3|7|1|22|256|7|1|1|22|128|17|3|54
8|4|1694|B|1|0|U|694|37|5|4|4|13|estrato_13|123|6|12|57|0|0|5|1|71|28|24|8|19|47|20|8|9|1|33|349|9|0|0|47|156|20|8|75
8|6|0778|C|1|0|U|543|19|15|6|6|15|estrato_15|63|5|7|50|0|2|0|3|55|23|17|13|13|43|15|2|10|2|24|284|10|2|0|43|124|15|2|62
8|7|1185|B|1|0|U|563|31|13|7|7|16|estrato_16|97|8|13|33|1|1|6|2|52|24|19|15|20|38|26|3|4|2|18|285|4|1|1|38|138|26|3|54
8|5|0991|E|1|2|U|642|21|19|5|5|14|estrato_14|64|7|6|40|0|2|7|7|57|37|15|7|20|33|19|8|9|1|30|305|9|2|0|33|150|19|8|53
8|6|3206|C|1|0|U|457|19|15|6|6|6|estrato_6|113|4|8|38|0|2|5|1|47|22|14|6|19|25|7|4|5|0|24|231|5|2|0|25|114|7|4|50
8|7|1218|C|1|0|R|574|31|13|7|7|16|estrato_16|102|5|14|39|0|2|8|7|55|28|11|11|25|52|21|5|6|3|16|308|6|2|0|52|145|21|5|58
8|4|1718|B|1|0|U|452|37|6|4|4|4|estrato_4|66|7|6|42|1|0|4|2|55|21|13|3|16|24|12|5|6|1|19|237|6|0|1|24|114|12|5|55
8|5|2319|C|1|0|U|421|45|11|5|5|5|estrato_5|116|6|10|28|0|2|4|2|48|21|11|5|14|24|14|3|5|1|18|216|5|2|0|24|105|14|3|44
8|6|2884|C|1|0|U|486|19|12|6|6|6|estrato_6|134|3|13|30|0|0|3|1|62|25|23|6|10|28|12|5|4|1|18|244|4|0|0|28|130|12|5|46
8|2|0156|C|1|0|U|623|10|11|2|2|11|estrato_11|17|4|9|41|0|3|4|1|71|23|18|11|26|43|16|6|9|0|27|312|9|3|0|43|154|16|6|54
8|3|2120|C|3|0|U|731|37|2|3|3|12|estrato_12|112|4|19|51|0|2|11|7|69|31|22|11|25|49|22|7|7|2|28|367|7|2|0|49|176|22|7|74
8|5|0998|E|1|1|M|428|21|19|5|5|5|estrato_5|65|16|9|28|0|0|6|1|39|19|9|8|18|26|3|5|6|1|19|213|6|0|0|26|100|3|5|53
