64
ID_ESTADO|ID_DISTRITO_FEDERAL|SECCION|TIPO_CASILLA|ID_CASILLA|EXT_CONTIGUA|TIPO_SECCION|LISTA_NOMINAL|ID_MUNICIPIO|ID_DIST_LOC|ID_ESTRATO_F|ESTRATO_F|ID_ESTRATO_L|ESTRATO_L|ID_AREA_RESPONSABILIDAD|PAN|PRI|PRD|PAN_PRI_PRD|PAN_PRI|PAN_PRD|PRI_PRD|PVEM|PT|MC|MORENA_PANAL|PES|RSP|FPM|CNR|NULOS|TOTAL|AICA|CVYCC|EBR|IVS|LAMS|MRC|PD|VMA
6|1|0001|B|1|0|U|714|1|6|1|1|3|estrato_3|30|25|34|3|22|6|20|16|24|59|80|5|32|3|3|39|0|371|59|3|3|5|80|126|32|24
6|1|0140|C|1|0|M|670|5|7|1|1|3|estrato_3|120|43|26|8|17|7|24|14|26|59|68|1|26|3|5|29|0|356|59|5|3|1|68|139|26|26
6|2|0174|B|1|0|M|492|6|9|2|2|6|estrato_6|9|20|31|3|17|1|12|9|24|48|44|3|16|1|3|20|0|252|48|3|1|3|44|93|16|24
6|2|0276|C|1|0|R|440|9|14|2|2|6|estrato_6|76|24|16|3|10|0|22|4|23|37|37|2|15|2|2|22|0|219|37|2|2|2|37|79|15|23
6|1|0001|C|7|0|U|713|1|6|1|1|3|estrato_3|31|29|41|7|22|8|28|13|28|65|64|4|21|1|4|36|0|371|65|4|1|4|64|148|21|28
6|1|0082|B|1|0|M|659|1|3|1|1|1|estrato_1|40|38|37|7|12|6|20|12|26|54|52|3|23|3|5|26|1|325|54|5|3|3|52|132|23|26
6|2|0217|C|1|0|U|470|8|13|2|2|5|estrato_5|60|16|22|2|18|1|12|14|15|36|41|3|21|0|5|22|0|228|36|5|0|3|41|85|21|15
6|2|0285|B|1|0|U|682|10|10|2|2|6|estrato_6|91|34|42|4|21|1|25|11|30|47|59|4|19|3|5|29|0|334|47|5|3|4|59|138|19|30
6|2|0188|B|1|0|U|553|6|9|2|2|6|estrato_6|6|10|28|9|18|7|12|15|27|38|41|6|20|2|2|36|0|271|38|2|2|6|41|99|20|27
6|1|0067|B|1|0|U|483|1|2|1|1|3|estrato_3|15|19|22|2|13|2|19|14|19|30|47|5|7|1|1|17|0|218|30|1|1|5|47|91|7|19
6|2|0209|B|1|0|U|542|8|13|2|2|6|estrato_6|57|33|27|9|15|3|21|15|28|37|45|5|22|2|1|21|0|284|37|1|2|5|45|123|22|28
6|2|0238|E|2|5|M|709|8|11|2|2|2|estrato_2|29|29|37|9|23|4|22|21|28|64|53|6|26|6|1|34|0|363|64|1|6|6|53|145|26|28
6|1|0060|E|1|5|U|716|1|1|1|1|4|estrato_4|57|27|37|7|17|3|21|18|26|52|57|7|38|1|7|35|2|355|52|7|1|7|57|130|38|26
6|1|0140|C|4|0|M|669|5|7|1|1|3|estrato_3|121|40|27|6|24|3|22|23|28|41|53|4|22|1|3|33|1|331|41|3|1|4|53|145|22|28
6|1|0073|E|1|1|U|718|1|2|1|1|1|estrato_1|10|26|33|4|21|6|20|12|29|67|57|3|26|3|3|29|0|339|67|3|3|3|57|122|26|29
6|2|0258|C|1|0|U|664|8|13|2|2|6|estrato_6|52|27|31|8|25|1|18|15|21|47|63|5|21|1|3|43|0|329|47|3|1|5|63|125|21|21
6|1|0092|C|2|0|M|617|2|4|1|1|3|estrato_3|66|27|21|9|19|1|22|14|10|50|57|7|24|4|3|28|0|296|50|3|4|7|57|113|24|10
6|1|0082|E|1|0|M|384|1|3|1|1|1|estrato_1|40|23|20|2|5|3|9|12|10|38|37|2|10|0|1|13|0|185|38|1|0|2|37|74|10|10
6|2|0248|C|4|0|M|710|8|12|2|2|2|estrato_2|42|29|36|10|30|3|16|15|18|64|73|2|27|1|4|31|1|360|64|4|1|2|73|139|27|18
6|2|0202|C|3|0|U|604|8|13|2|2|5|estrato_5|53|17|35|9|17|5|18|19|23|38|50|4|23|0|6|33|0|297|38|6|0|4|50|120|23|23
6|2|0260|C|3|0|U|684|8|14|2|2|5|estrato_5|67|36|33|7|20|2|14|13|22|46|65|0|29|4|1|39|0|331|46|1|4|0|65|125|29|22
6|2|0186|B|1|0|U|563|6|9|2|2|6|estrato_6|3|20|30|3|21|0|22|8|18|42|61|3|18|1|1|25|0|273|42|1|1|3|61|104|18|18
6|1|0035|B|1|0|U|631|1|1|1|1|1|estrato_1|33|36|32|4|17|5|21|10|29|47|64|5|22|1|5|24|0|322|47|5|1|5|64|125|22|29
6|2|0250|C|3|0|U|726|8|12|2|2|2|estrato_2|43|28|43|6|17|0|26|20|32|51|62|6|30|4|1|39|0|365|51|1|4|6|62|140|30|32
6|1|0023|C|3|0|U|647|1|3|1|1|1|estrato_1|45|28|42|11|12|5|20|10|19|61|59|3|24|4|4|34|0|336|61|4|4|3|59|128|24|19
6|2|0238|B|1|0|M|685|8|11|2|2|2|estrato_2|27|19|44|7|26|5|25|15|23|63|57|2|27|3|2|30|0|348|63|2|3|2|57|141|27|23
6|1|0139|C|2|0|U|714|5|7|1|1|3|estrato_3|122|29|36|6|17|4|20|10|38|62|73|2|19|1|3|46|1|367|62|3|1|2|73|122|19|38
6|2|0238|E|1|5|M|671|8|11|2|2|2|estrato_2|27|29|27|9|10|5|17|19|32|60|59|5|19|0|7|34|0|332|60|7|0|5|59|116|19|32
6|1|0077|B|1|0|M|698|1|6|1|1|1|estrato_1|32|27|31|10|17|3|28|15|39|56|60|6|23|5|4|27|1|352|56|4|5|6|60|131|23|39
6|2|0283|B|1|0|U|687|10|10|2|2|6|estrato_6|92|43|34|6|16|3|28|17|26|41|64|4|23|1|2|29|0|337|41|2|1|4|64|147|23|26
6|2|0234|C|2|0|M|743|8|14|2|2|6|estrato_6|19|44|48|10|22|5|25|16|20|62|63|7|19|1|3|29|0|374|62|3|1|7|63|170|19|20
6|2|0238|C|2|0|M|685|8|11|2|2|2|estrato_2|27|29|48|9|24|3|25|15|19|62|52|4|23|6|7|41|0|367|62|7|6|4|52|153|23|19
6|1|0054|B|1|0|U|580|1|2|1|1|3|estrato_3|17|21|34|5|18|2|22|15|22|38|52|1|18|1|0|26|0|275|38|0|1|1|52|117|18|22
6|1|0026|C|1|0|U|409|1|2|1|1|1|estrato_1|22|17|21|4|19|2|14|7|17|34|38|0|15|1|1|26|0|216|34|1|1|0|38|84|15|17
6|1|0157|B|1|0|U|479|5|7|1|1|1|estrato_1|115|25|30|4|13|0|15|11|19|39|39|4|18|2|2|18|0|239|39|2|2|4|39|98|18|19
6|1|0138|C|6|0|U|678|5|7|1|1|4|estrato_4|127|28|36|4|14|3|21|15|24|64|63|3|20|1|5|30|0|331|64|5|1|3|63|121|20|24
