34
ID_ESTADO|ID_DISTRITO_FEDERAL|SECCION|TIPO_CASILLA|ID_CASILLA|EXT_CONTIGUA|TIPO_SECCION|LISTA_NOMINAL|ID_MUNICIPIO|ID_DIST_LOC|ID_ESTRATO_F|ESTRATO_F|ID_ESTRATO_L|ESTRATO_L|ID_AREA_RESPONSABILIDAD|PAN|PRI|PRD|PAN_PRI_PRD|PAN_PRI|PAN_PRD|PRI_PRD|PT|PVEM|MORENA|PANAL|PT_PVEM_MORENA_PANAL|PT_PVEM_MORENA|PVEM_MORENA_PANAL|PT_PVEM_PANAL|PT_MORENA_PANAL|PT_PVEM|PVEM_MORENA|PVEM_PANAL|PT_MORENA|PT_PANAL|MORENA_PANAL|MC|VIVA|LN|PES|RSP|FPM|CNR|NULOS|TOTAL|AGJ|BGTL|GENS|IFM|MANQ|NMC|NRI|VMCV
18|3|0854|B|1|0|U|581|19|14|3|3|5|estrato_5|34|2|16|2|31|16|0|7|18|1|6|4|15|6|11|2|7|17|31|12|27|13|0|13|33|5|9|0|0|0|2|306|5|0|74|13|170|0|9|33
18|1|0002|C|1|0|M|553|1|1|1|1|8|estrato_8|4|0|13|1|21|13|0|13|11|0|14|2|13|5|8|0|11|18|30|21|23|6|1|11|30|11|7|0|0|1|0|284|11|0|61|11|163|0|7|30
18|1|0840|B|1|0|U|620|18|4|1|1|8|estrato_8|147|1|17|0|28|15|0|17|9|4|10|0|14|10|18|0|6|18|27|14|23|7|0|11|39|6|13|1|0|1|0|309|6|0|78|11|160|1|13|39
18|1|0826|B|1|0|U|418|18|4|1|1|6|estrato_6|143|1|10|0|23|9|0|9|11|2|10|0|10|10|7|0|6|9|23|11|12|3|0|10|22|6|4|0|0|0|1|209|6|0|52|10|114|0|4|22
18|1|0205|B|1|0|R|210|6|1|1|1|6|estrato_6|20|0|3|0|14|7|0|6|5|1|1|1|4|4|6|0|3|7|8|4|13|2|0|6|10|4|1|0|0|0|0|110|4|0|30|6|59|0|1|10
18|3|0075|B|1|0|R|576|3|16|3|3|9|estrato_9|29|0|10|2|40|15|0|14|8|3|13|0|13|12|8|0|8|13|35|10|19|2|1|9|27|3|7|0|0|1|0|273|3|0|81|9|145|0|7|27
18|1|0567|B|1|0|R|744|16|2|1|1|8|estrato_8|119|0|12|5|39|13|2|21|18|1|16|2|21|12|12|0|9|16|36|12|40|7|0|12|46|6|9|0|0|3|2|372|6|0|92|12|202|0|9|46
18|1|0203|E|1|0|R|320|6|1|1|1|8|estrato_8|21|0|5|0|19|10|0|10|7|0|10|0|8|7|2|1|2|10|13|7|15|3|0|2|15|5|4|0|0|1|1|157|5|0|44|2|85|0|4|15
18|1|0275|E|1|0|R|338|9|3|1|1|6|estrato_6|30|0|7|0|18|4|0|9|5|1|4|0|5|9|4|0|6|10|23|6|18|3|0|2|21|6|6|0|0|0|1|168|6|0|38|2|94|0|6|21
18|3|0174|B|1|0|R|122|5|15|3|3|7|estrato_7|89|0|5|0|7|1|0|2|4|1|2|0|3|3|1|0|1|4|9|5|6|4|0|1|6|2|0|1|0|0|0|68|2|0|15|1|43|1|0|6
18|2|0963|B|1|0|U|506|17|7|2|2|2|estrato_2|42|1|14|1|26|7|0|9|10|1|10|0|15|11|7|2|5|16|37|9|18|6|1|7|35|10|7|0|0|0|2|267|10|0|58|7|148|0|7|35
18|1|0273|E|1|0|R|484|9|3|1|1|8|estrato_8|29|0|15|2|26|9|0|10|10|0|6|0|13|18|13|1|4|14|32|12|24|3|0|8|26|9|2|2|0|2|0|261|9|0|62|8|150|2|2|26
18|1|0267|E|3|0|R|343|9|3|1|1|6|estrato_6|25|1|8|1|18|10|0|2|6|3|4|0|6|5|13|0|1|7|18|6|9|6|0|2|23|5|9|1|0|1|1|166|5|0|40|2|84|1|9|23
18|2|0745|B|1|0|U|635|17|11|2|2|4|estrato_4|109|0|11|0|40|12|0|20|18|1|12|0|14|13|23|0|10|19|41|8|30|6|1|5|38|3|3|0|0|1|1|330|3|0|83|5|196|0|3|38
18|3|0878|E|1|0|R|126|20|13|3|3|9|estrato_9|15|0|5|0|6|4|0|0|2|0|6|0|2|1|4|0|0|3|7|3|8|0|0|2|2|1|0|0|0|1|0|57|1|0|15|2|36|0|0|2
18|1|0537|B|1|0|U|645|15|4|1|1|6|estrato_6|92|0|14|1|38|14|0|15|7|3|8|1|16|13|14|3|8|14|38|10|38|9|0|7|33|4|8|1|0|3|0|320|4|0|82|7|182|1|8|33
18|3|0848|B|1|0|U|593|19|14|3|3|5|estrato_5|26|0|15|1|26|17|0|22|17|2|18|0|17|10|7|0|8|6|20|18|22|5|0|7|28|10|4|0|0|0|0|280|10|0|81|7|150|0|4|28
18|2|0681|B|1|0|U|738|17|12|2|2|4|estrato_4|117|1|12|2|41|17|0|17|17|2|13|2|15|13|19|0|7|15|48|19|38|12|0|8|49|14|8|0|0|2|2|393|14|0|90|8|220|0|8|49
18|2|0740|B|1|0|U|500|17|11|2|2|2|estrato_2|108|1|15|0|26|7|0|10|17|2|2|0|8|11|8|1|6|22|21|11|24|2|0|10|24|5|5|1|0|0|1|240|5|0|59|10|135|1|5|24
18|1|0343|B|1|0|R|403|11|3|1|1|6|estrato_6|60|1|10|0|25|3|0|9|8|1|10|1|8|15|8|0|6|15|12|8|15|4|0|2|36|3|4|1|0|0|0|205|3|0|48|2|111|1|4|36
18|3|0172|B|1|0|R|129|5|15|3|3|7|estrato_7|91|0|5|0|7|0|0|3|4|0|2|0|3|4|4|0|3|2|7|4|6|2|0|1|8|2|4|0|0|1|0|72|2|0|15|1|41|0|4|8
18|1|0290|B|1|0|R|715|10|1|1|1|8|estrato_8|44|1|14|2|37|10|0|15|20|4|7|1|18|22|19|0|8|17|38|18|32|9|1|13|39|8|11|0|0|3|3|370|8|0|79|13|214|0|11|39
18|2|0961|B|1|0|U|542|17|7|2|2|2|estrato_2|38|1|7|0|30|12|1|12|17|2|8|1|8|8|14|1|11|14|32|14|25|8|0|7|22|5|5|0|0|1|1|267|5|0|63|7|163|0|5|22
18|2|0957|C|1|0|U|444|17|7|2|2|2|estrato_2|36|0|6|2|33|5|0|9|6|0|1|0|15|11|5|0|5|11|23|14|17|9|0|6|28|9|6|0|0|0|0|221|9|0|55|6|117|0|6|28
18|3|0103|B|1|0|U|611|4|17|3|3|3|estrato_3|97|0|13|1|37|11|0|14|11|2|12|1|12|12|15|1|10|15|27|8|29|7|0|13|41|12|8|0|0|1|4|317|12|0|76|13|162|0|8|41
18|1|0541|B|1|0|U|429|15|4|1|1|6|estrato_6|91|1|9|1|24|10|0|7|10|1|7|1|6|11|4|0|7|18|27|7|13|6|1|3|20|3|3|0|0|1|1|202|3|0|52|3|119|0|3|20
18|3|0225|B|1|0|M|669|7|16|3|3|5|estrato_5|46|1|17|2|37|18|0|17|14|1|17|1|16|10|10|2|4|16|40|8|29|9|0|12|36|4|4|0|0|0|0|325|4|0|92|12|177|0|4|36
18|3|0062|B|1|0|R|256|2|16|3|3|7|estrato_7|52|1|6|0|14|5|0|8|5|0|4|1|9|6|5|0|3|3|14|2|13|4|0|5|9|5|1|1|0|0|0|124|5|0|34|5|69|1|1|9
18|3|0218|C|1|0|U|630|7|16|3|3|3|estrato_3|38|2|19|3|41|17|0|11|9|0|15|1|16|15|11|0|9|14|32|13|27|12|0|6|39|7|8|0|0|2|0|329|7|0|93|6|174|0|8|39
18|1|0287|B|1|0|R|482|10|2|1|1|6|estrato_6|38|0|12|1|34|12|2|10|8|0|8|0|13|18|8|1|4|9|28|11|16|6|0|8|31|5|7|1|0|0|1|254|5|0|71|8|130|1|7|31
18|1|0360|B|1|0|U|735|12|10|1|1|8|estrato_8|63|2|15|1|31|15|0|16|20|3|11|0|16|14|17|3|7|18|30|13|37|13|0|4|36|9|13|0|0|6|2|352|9|0|80|4|202|0|13|36
18|2|0723|C|1|0|U|592|17|11|2|2|4|estrato_4|98|3|15|2|24|7|0|19|11|3|17|0|19|9|16|0|8|9|43|7|26|3|0|9|44|10|5|0|0|1|0|310|10|0|70|9|171|0|5|44
18|1|0374|B|1|0|R|165|12|10|1|1|6|estrato_6|74|0|3|0|14|4|0|3|3|0|4|1|3|5|2|0|1|3|6|3|7|6|0|2|10|4|0|0|0|1|0|85|4|0|24|2|44|0|0|10
18|3|0161|B|1|0|U|547|5|15|3|3|5|estrato_5|80|1|13|2|25|16|0|8|12|2|14|0|13|5|11|0|11|12|18|15|21|10|0|8|34|9|7|2|0|0|0|269|9|0|65|8|144|2|7|34
